iter	Passed	Remaining
402	14498	3489
403	14533	3453
404	14567	3417
405	14599	3380
406	14630	3343
407	14662	3306
408	14695	3269
409	14727	3232
410	14758	3195
411	14789	3159
412	14822	3122
413	14855	3085
414	14886	3048
415	14918	3012
416	14949	2975
417	14980	2938
418	15014	2902
419	15052	2867
420	15084	2830
421	15117	2794
422	15152	2758
423	15185	2721
424	15222	2686
425	15261	2651
426	15297	2615
427	15330	2578
428	15370	2543
429	15405	2507
430	15438	2471
431	15475	2435
432	15509	2399
433	15547	2364
434	15583	2328
435	15617	2292
436	15651	2256
437	15700	2222
438	15762	2190
439	15801	2154
440	15842	2119
441	15876	2083
442	15915	2047
443	15947	2011
444	15979	1974
445	16014	1939
446	16064	1904
447	16104	1869
448	16146	1833
449	16183	1798
450	16218	1762
451	16255	1726
452	16291	1690
453	16327	1654
454	16360	1618
455	16393	1581
456	16430	1545
457	16467	1510
458	16504	1474
459	16542	1438
460	16578	1402
461	16613	1366
462	16647	1330
463	16683	1294
464	16719	1258
465	16755	1222
466	16790	1186
467	16827	1150
468	16863	1114
469	16899	1078
470	16935	1042
471	16969	1006
472	17007	970
473	17041	934
474	17076	898
475	17114	862
476	17150	826
477	17186	790
478	17222	755
479	17256	719
480	17295	683
481	17330	647
482	17364	611
483	17397	575
484	17432	539
485	17468	503
486	17503	467
487	17537	431
488	17572	395
489	17612	359
490	17649	323
491	17684	287
492	17719	251
493	17754	215
494	17790	179
495	17827	143
496	17863	107
497	17897	71
498	17930	35
499	17980	0
