iter	Logloss
0	0.6867201865
1	0.682220756
2	0.6781599028
3	0.673590172
4	0.6694833816
5	0.6645906426
6	0.6611499386
7	0.6578512188
8	0.6548510968
9	0.6515445196
10	0.6483651703
11	0.6448072652
12	0.6393729773
13	0.6356312369
14	0.6321294848
15	0.6290540228
16	0.6243013924
17	0.6204200151
18	0.6183254724
19	0.6131632466
20	0.6111648857
21	0.6083576447
22	0.6051364514
23	0.6027342296
24	0.6007971496
25	0.5967576725
26	0.5931003775
27	0.5900004874
28	0.5864898542
29	0.584525807
30	0.5819802794
31	0.5796935026
32	0.5768685246
33	0.5749877156
34	0.5722517567
35	0.5705474055
36	0.5685685002
37	0.5662636064
38	0.5630633252
39	0.5604088703
40	0.5577161012
41	0.5554515303
42	0.5516366379
43	0.5504325167
44	0.5477683315
45	0.5453893783
46	0.5432911829
47	0.5418538915
48	0.539528626
49	0.5376960528
50	0.5361086526
51	0.5348542683
52	0.5329262925
53	0.5309057132
54	0.5293012939
55	0.5280683581
56	0.5261204389
57	0.5239111829
58	0.5215309402
59	0.5204333226
60	0.5184707225
61	0.5168707959
62	0.5144844457
63	0.5120944202
64	0.5098354465
65	0.5079614312
66	0.5070503431
67	0.5045636532
68	0.5029183835
69	0.5004427699
70	0.4981413565
71	0.4958450424
72	0.4943288226
73	0.4925909053
74	0.4897245861
75	0.4883026961
76	0.4873362814
77	0.4858486125
78	0.4828254746
79	0.4806363673
80	0.4782430262
81	0.4767099138
82	0.4740008223
83	0.4722166544
84	0.4695491011
85	0.4669755974
86	0.463910018
87	0.4616317117
88	0.4599551812
89	0.4581522451
90	0.4557725845
91	0.4539374728
92	0.4519051332
93	0.449955652
94	0.4478822883
95	0.4453911367
96	0.4432883318
97	0.4405667151
98	0.4396090873
99	0.4374239196
100	0.4350987765
101	0.4323884166
102	0.4306024105
103	0.4284046981
104	0.4261018041
105	0.4243831796
106	0.423188577
107	0.4199478915
108	0.4175824194
109	0.4155081062
110	0.4136303465
111	0.4113944534
112	0.4098183781
113	0.4075772066
114	0.4058118897
115	0.4046661668
116	0.4029092438
117	0.4011506425
118	0.3989519231
119	0.3959492558
120	0.3945844682
121	0.3930335533
122	0.3904251241
123	0.388926441
124	0.3873041844
125	0.3857321758
126	0.3847555752
127	0.382087341
128	0.3809743507
129	0.378789185
130	0.3768717147
131	0.3754407738
132	0.3738538343
133	0.3722539449
134	0.3705564809
135	0.3690764281
136	0.3672482503
137	0.3653969192
138	0.3635519228
139	0.3622369103
140	0.3613315286
141	0.3600559
142	0.3580166742
143	0.3568611657
144	0.3551261029
145	0.3540782716
146	0.3529413772
147	0.3513580133
148	0.3498538285
149	0.3485984626
150	0.3469364884
151	0.3453914696
152	0.3437549599
153	0.3428723999
154	0.3410668098
155	0.3391774756
156	0.3382037847
157	0.3363031475
158	0.3352041715
159	0.3337616455
160	0.3328894574
161	0.3316293758
162	0.3302917061
163	0.3279720754
164	0.3265188974
165	0.3245933173
166	0.323433748
167	0.3222546382
168	0.3214211102
169	0.3199230337
170	0.3191656716
171	0.3179544295
172	0.3165058275
173	0.3150998799
174	0.3142808276
175	0.3127526024
176	0.3113301496
177	0.3101381233
178	0.3090524145
179	0.3078704142
180	0.3063522064
181	0.3055533804
182	0.3045868388
183	0.3034857488
184	0.3019620043
185	0.2999950855
186	0.2991360126
187	0.2978079335
188	0.2965567229
189	0.2954772768
190	0.2937944315
191	0.2924602133
192	0.2912048513
193	0.2901533744
194	0.2883782646
195	0.2869378828
196	0.285964214
197	0.284918616
198	0.2838046527
199	0.2826320676
200	0.2818729813
201	0.2803233181
202	0.2792097928
203	0.2782913684
204	0.2769620714
205	0.2754581431
206	0.2741981271
207	0.2725698392
208	0.2713392669
209	0.27040659
210	0.2697037285
211	0.2685914425
212	0.2677262585
213	0.2666117169
214	0.2653836967
215	0.2638763804
216	0.2626677409
217	0.2617644257
218	0.2608793831
219	0.2601630397
220	0.2591517939
221	0.2581184734
222	0.2572410897
223	0.2562250627
224	0.2550174578
225	0.2538979592
226	0.2529094326
227	0.2521386479
228	0.2510974456
229	0.250272144
230	0.2493058084
231	0.2484469409
232	0.2474962279
233	0.2459847557
234	0.2448274469
235	0.2439735757
236	0.2427734171
237	0.2416353322
238	0.2407069993
239	0.2398451517
240	0.2391712493
241	0.2379055154
242	0.2365959227
243	0.2359387088
244	0.234714328
245	0.2337547549
246	0.2328024945
247	0.2321115476
248	0.2313242782
249	0.2302645558
250	0.2288156812
251	0.2279655685
252	0.226762738
253	0.2260004278
254	0.2241396115
255	0.223428918
256	0.2226258691
257	0.2220494492
258	0.2211021872
259	0.2197613013
260	0.2187248389
261	0.2183206093
262	0.2175793258
263	0.2168503015
264	0.2163157335
265	0.215404042
266	0.2143742643
267	0.2134823628
268	0.2125920961
269	0.2118625588
270	0.2107769915
271	0.2098205107
272	0.2091261075
273	0.2080979529
274	0.2071841851
275	0.2066480639
276	0.2060429491
277	0.2051756753
278	0.2044350583
279	0.203615324
280	0.2029174663
281	0.2020213075
282	0.2013541337
283	0.2009174653
284	0.1999523218
285	0.1991477849
286	0.1984939006
287	0.1976120674
288	0.1969931506
289	0.1961571924
290	0.1955430413
291	0.1946232183
292	0.1937813865
293	0.1932377737
294	0.1925533606
295	0.1916239362
296	0.1908956664
297	0.190120833
298	0.1892654569
299	0.188599056
